RTH #,RSH #,RTK #,TH,SH,K,H POS,RTH Keyword,RSH Keyword,RTK Keyword,RTH Read,TH Read,RTH Lesson,RSH Lesson,RTK Lesson,K and H check,SH and TH check,K and TH keywords,SH and TH keywords,K and H Visual Check
0022,0023,0022,晶,晶,晶,,sparkling,sparkling,sparkle,jīng,jīng,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0023,0024,0023,品,品,品,,goods,goods,goods,pǐn,pǐn,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0024,0025,0025,昌,昌,昌,,prosperous,prosperous,prosperous,chāng,chāng,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0025,0026,0026,早,早,早,,early,early,early,zǎo,zǎo,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0026,0027,0027,旭,旭,旭,,rising sun,rising sun,rising sun,xù,xù,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0027,0028,0028,世,世,世,,generation,generation,generation,shì,shì,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0028,0029,0029,胃,胃,胃,,stomach,stomach,stomach,wèi,wèi,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0029,0030,0030,旦,旦,旦,,daybreak,daybreak,nightbreak,dàn,dàn,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0030,0031,0033,凹,凹,凹,,concave,concave,concave,āo,āo|wā,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0031,0032,0034,凸,凸,凸,,convex,convex,convex,tū,tū,RTH1-L02,RSH1-L02,RTK1v5-L02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0032,0033,0036,自,自,自,,oneself,oneself,oneself,zì,zì,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0033,0034,0037,白,白,白,,white,white,white,bái,bái|bó,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0034,0035,0038,百,百,百,,hundred,hundred,hundred,bǎi,bǎi,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0035,0036,,皂,皂,,,soap,soap,,zào,zào,RTH1-L03,RSH1-L03,,K missing,SH = TH,RTK key missing,SH key = TH key,
0036,0038,0039,中,中,中,n./adj.,middle,middle,in,zhōng,zhōng|zhòng,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0037,0039,0040,千,千,千,,thousand,thousand,thousand,qiān,qiān,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0038,0040,0041,舌,舌,舌,,tongue,tongue,tongue,shé,shé,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0039,0041,0042,升,升,升,,liter,liter,measuring box,shēng,shēng,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0040,ch # 0041,0043,昇,升,昇,,rise up,,rise up,shēng,shēng,RTH1-L03,,RTK1v5-L03,K = TH,SH <> TH,K key = TH key,RSH key missing,
0041,0042,0044,丸,丸,丸,,pill,pill,round,wán,wán,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0042,0043,2103,卜,卜,卜,,divination,divination,augury,bǔ,bǔ|bo,RTH1-L03,RSH1-L03,RTK3v2-CH01,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0043,0044,0048,占,占,占,,tell fortunes,tell fortunes,fortune-telling,zhān,zhàn|zhān,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0044,0045,0049,上,上,上,,above,above,above,shàng,shàng|shang|shǎng,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0045,0046,0050,下,下,下,,below,below,below,xià,xià,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0046,0047,,卡,卡,卡,,card,card,,kǎ,kǎ|qiǎ,RTH1-L03,RSH1-L03,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0047,0048,0051,卓,卓,卓,,eminent,eminent,eminent,zhuó,zhuó,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0048,0049,0052,朝,朝,朝,,dynasty,dynasty,morning,cháo,cháo|zhāo,RTH1-L03,RSH1-L03,RTK1v5-L03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0049,0050,2155,嘲,嘲,嘲,v.,ridicule,ridicule,derision,cháo,cháo|zhāo,RTH1-L03,RSH1-L03,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0050,0051,0053,只,只,只,,only,only,only,zhǐ,zhǐ|zhī,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0051,0052,0054,貝,贝,貝,,shellfish,shellfish,shellfish,bèi,bèi,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0052,0053,2736,貼,贴,貼,v.,paste,paste,affix,tiē,tiē,RTH1-L04,RSH1-L04,RTK3v2-CH02,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0053,0054,0055,貞,贞,貞,,chaste,chaste,upright,zhēn,zhēn,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0054,0055,0056,員,员,員,,employee,employee,employee,yuán,yuán,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0055,0058,0057,見,见,見,,see,see,see,jiàn,jiàn|xiàn,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0056,0059,0059,元,元,元,,beginning,beginning,beginning,yuán,yuán,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0057,0060,0060,頁,页,頁,,page,page,page,yè,yè,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0058,0061,0061,頑,顽,頑,,stubborn,stubborn,stubborn,wán,wán,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0059,0062,0062,凡,凡,凡,,ordinary,ordinary,mediocre,fán,fán,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0060,0063,0066,肌,肌,肌,,muscle,muscle,texture,jī,jī,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0061,0064,0063,負,负,負,adj.,defeated,defeated,defeat,fù,fù,RTH1-L04,RSH1-L04,RTK1v5-L04,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0062,0066,,勻,匀,,adj.,uniform,uniform,,yún,yún,RTH1-L04,RSH1-L04,,K missing,SH <> TH,RTK key missing,SH key = TH key,
0063,0067,0065,句,句,句,n.,sentence,sentence,phrase,jù,jù,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0064,0068,0067,旬,旬,旬,,decameron,decameron,decameron,xún,xún,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0065,0069,0068,勺,勺,勺,,ladle,ladle,ladle,sháo,sháo,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0066,0070,0069,的,的,的,,bull's eye,bull's eye,bull's eye,de,de,RTH1-L04,RSH1-L04,RTK1v5-L04,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0067,0071,0070,首,首,首,,heads,heads,neck,shǒu,shǒu,RTH1-L04,RSH1-L04,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0068,0072,0073,直,直,直,,straight,straight,straightaway,zhí,zhí,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0069,0073,0832,置,置,置,,set up,set up,placement,zhì,zhì,RTH1-L05,RSH1-L05,RTK1v5-L25,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0070,0074,0074,具,具,具,,tool,tool,tool,jù,jù,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0071,0075,0075,真,真,真,,true,true,true,zhēn,zhēn,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0072,0076,0076,工,工,工,n.,work,work,craft,gōng,gōng,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0073,0077,0077,左,左,左,n./adj.,left,left,left,zuǒ,zuǒ,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0074,0078,0078,右,右,右,n./adj.,right,right,right,yòu,yòu,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0075,0079,0079,有,有,有,,possess,possess,possess,yǒu,yǒu,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0076,0080,0080,賄,贿,賄,n.,bribe,bribe,bribe,huì,huì,RTH1-L05,RSH1-L05,RTK1v5-L05,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0077,0081,0081,貢,贡,貢,,tribute,tribute,tribute,gòng,gòng,RTH1-L05,RSH1-L05,RTK1v5-L05,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0078,0082,0082,項,项,項,,item,item,paragraph,xiàng,xiàng,RTH1-L05,RSH1-L05,RTK1v5-L05,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0079,0083,0083,刀,刀,刀,,sword,sword,sword,dāo,dāo,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0080,0084,0084,刃,刃,刃,,blade,blade,blade,rèn,rèn,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0081,0085,0085,切,切,切,v.,cut,cut,cut,qiē,qiē|qiè,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0082,0086,0086,召,召,召,,summon,summon,seduce,zhào,zhào,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0083,0087,0087,昭,昭,昭,,evident,evident,shining,zhāo,zhāo,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0084,0088,0088,則,则,則,n.,rule,rule,rule,zé,zé,RTH1-L05,RSH1-L05,RTK1v5-L05,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0085,0089,0089,副,副,副,,vice-,vice-,vice-,fù,fù,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0086,0090,0091,丁,丁,丁,,fourth,fourth,street,dīng,dīng|zhēng,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0087,0091,,叮,叮,叮,v.,sting,sting,,dīng,dīng,RTH1-L05,RSH1-L05,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0088,0092,0093,可,可,可,aux. v.,can,can,can,kě,kě|kè,RTH1-L05,RSH1-L05,RTK1v5-L05,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0089,0093,,哥,哥,哥,,older brother,older brother,,gē,gē,RTH1-L05,RSH1-L05,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0090,0094,0094,頂,顶,頂,n.,crest,crest,place on the head,dǐng,dǐng,RTH1-L05,RSH1-L05,RTK1v5-L05,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0091,0095,0071,乙,乙,乙,adj.,second,second,fish guts,yǐ,yǐ,RTH1-L06,RSH1-L06,RTK1v5-L05,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0092,0097,0095,子,子,子,,child,child,child,zǐ,zǐ|zi,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0093,0098,0096,孔,孔,孔,,cavity,cavity,cavity,kǒng,kǒng,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0094,0099,,吼,吼,吼,v.,roar,roar,,hǒu,hǒu,RTH1-L06,RSH1-L06,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0095,0101,0097,了,了,了,,(-ed),(-ed),complete,le,le|liǎo|liào|liāo|liáo,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0096,0102,0098,女,女,女,,woman,woman,woman,nǚ,nǚ,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0097,0103,0099,好,好,好,,good,good,fond,hǎo,hǎo|hào|hāo,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0098,0104,0100,如,如,如,,be like,be like,likeness,rú,rú,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0099,0105,0101,母,母,母,,mother,mother,mama,mǔ,mǔ,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0100,0106,0102,貫,贯,貫,,pierce,pierce,pierce,guàn,guàn,RTH1-L06,RSH1-L06,RTK1v5-L06,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0101,0107,0103,兄,兄,兄,,elder brother,elder brother,elder brother,xiōng,xiōng,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0102,0108,0104,克,克,克,v.,overcome,overcome,overcome,kè,kè|kēi,RTH1-L06,RSH1-L06,RTK1v5-L06,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0103,0109,0105,小,小,小,,small,small,little,xiǎo,xiǎo,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0104,0110,0106,少,少,少,,few,few,few,shǎo,shǎo|shào,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0105,0111,,吵,吵,吵,,noisy,noisy,,chǎo,chǎo|chāo,RTH1-L07,RSH1-L07,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0106,0113,0107,大,大,大,,large,large,large,dà,dà|dài,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0107,0114,2903,尖,尖,尖,n.,tip,tip,sharp point,jiān,jiān,RTH1-L07,RSH1-L07,RTK3v2-CH03,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0108,0115,0109,夕,夕,夕,,evening,evening,evening,xī,xī,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0109,0116,0108,多,多,多,,many,many,many,duō,duō,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0110,0117,,夠,够,,,enough,enough,,gòu,gòu,RTH1-L07,RSH1-L07,,K missing,SH <> TH,RTK key missing,SH key = TH key,
0111,0118,0111,外,外,外,,outside,outside,outside,wài,wài,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0112,0119,0112,名,名,名,n.,name,name,name,míng,míng,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0113,0124,0125,厚,厚,厚,,thick,thick,thick,hòu,hòu,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0114,0125,0113,石,石,石,,stone,stone,stone,shí,shí|dàn,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0115,0126,0117,砂,砂,砂,,gravel,gravel,sand,shā,shā,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0116,0127,0123,妙,妙,妙,,wonderful,wonderful,exquisite,miào,miào,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0117,0128,0114,肖,肖,肖,,resemble,resemble,resemblance,xiào,xiào|Xiāo,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0118,0129,0118,削,削,削,v.,peel,peel,plane,xuē,xiāo|xuē,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0119,0130,0119,光,光,光,,ray,ray,ray,guāng,guāng,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0120,0131,0120,太,太,太,,overly,overly,plump,tài,tài,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0121,0132,0124,省,省,省,,economize,economize,focus,shěng,shěng|xǐng,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0122,0133,0126,奇,奇,奇,,strange,strange,strange,qí,qí|jī,RTH1-L07,RSH1-L07,RTK1v5-L07,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0123,0134,0127,川,川,川,n.,stream,stream,stream,chuān,chuān,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0124,0135,0128,州,州,州,n.,state,state,state,zhōu,zhōu,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0125,0136,0129,順,顺,順,,obey,obey,obey,shùn,shùn,RTH1-L08,RSH1-L08,RTK1v5-L08,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0126,0137,0130,水,水,水,n.,water,water,water,shuǐ,shuǐ,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0127,0138,0132,永,永,永,,eternity,eternity,eternity,yǒng,yǒng,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0128,0140,0934,求,求,求,v.,request,request,request,qiú,qiú,RTH1-L08,RSH1-L08,RTK1v5-L26,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0129,0141,0133,泉,泉,泉,n.,spring,spring,spring,quán,quán,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0130,0142,0134,原,原,原,,flatlands,flatlands,meadow,yuán,yuán,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0131,0571,0135,願,愿,願,n.,wish,wish,petition,yuàn,yuàn,RTH1-L08,RSH1-L21,RTK1v5-L08,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0132,ch # 0432,0138,沖,冲,沖,,wash away,,open sea,chōng,chōng,RTH1-L08,,RTK1v5-L08,K = TH,SH <> TH,K key <> TH key,RSH key missing,
0133,0143,0136,泳,泳,泳,v.,swim,swim,swim,yǒng,yǒng,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0134,0144,2289,洲,洲,洲,,continent,continent,continent,zhōu,zhōu,RTH1-L08,RSH1-L08,RTK3v2-CH02,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0135,0145,0137,沼,沼,沼,,marsh,marsh,marsh,zhǎo,zhǎo,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0136,0146,2296,沙,沙,沙,n.,sand,sand,grains of sand,shā,shā,RTH1-L08,RSH1-L08,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0137,0147,0139,江,江,江,,Yangtze,Yangtze,creek,jiāng,jiāng,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0138,0148,0140,汁,汁,汁,n.,juice,juice,soup,zhī,zhī,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0139,0149,0141,潮,潮,潮,,tide,tide,tide,cháo,cháo,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0140,0150,0142,源,源,源,,source,source,source,yuán,yuán,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0141,0151,0143,活,活,活,,lively,lively,lively,huó,huó,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0142,0152,0144,消,消,消,,extinguish,extinguish,extinguish,xiāo,xiāo,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0143,0431,0145,況,况,況,,situation,situation,but of course,kuàng,kuàng,RTH1-L08,RSH1-L18,RTK1v5-L08,K = TH,SH <> TH,K key <> TH key,SH key = TH key,
0144,0153,0146,河,河,河,,river,river,river,hé,hé,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0145,0156,0148,湖,湖,湖,,lake,lake,lake,hú,hú,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0146,0157,0149,測,测,測,v.,fathom,fathom,fathom,cè,cè,RTH1-L08,RSH1-L08,RTK1v5-L08,K = TH,SH <> TH,K key = TH key,SH key = TH key,
0147,0158,0150,土,土,土,n.,soil,soil,soil,tǔ,tǔ,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key = TH key,SH key = TH key,
0148,0159,0160,均,均,均,,equal,equal,level,jūn,jūn,RTH1-L08,RSH1-L08,RTK1v5-L08,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
0149,0160,,肚,肚,肚,,belly,belly,,dù,dù|dǔ,RTH1-L08,RSH1-L08,,K = SH = TH,SH = TH,RTK key missing,SH key = TH key,
0150,0162,2190,填,填,填,,fill in,fill in,stuff up,tián,tián,RTH1-L08,RSH1-L08,RTK3v2-CH02,K = SH = TH,SH = TH,K key <> TH key,SH key = TH key,
